	DLBC1	DLBC2	DLBC3	DLBC4	DLBC5	DLBC6	DLBC7	DLBC8	DLBC9	DLBC10	DLBC11	DLBC12	DLBC13	DLBC14	DLBC15	DLBC16	DLBC17	DLBC18	DLBC19	DLBC20	DLBC21	DLBC22	DLBC23	DLBC24	DLBC25	DLBC26	DLBC27	DLBC28	DLBC29	DLBC30	DLBC31	DLBC32	DLBC33	DLBC34	DLBC35	DLBC36	DLBC37	DLBC38	DLBC39	DLBC40	DLBC41	DLBC42	DLBC43	DLBC44	DLBC45	DLBC46	DLBC47	DLBC48	DLBC49	DLBC50	DLBC51	DLBC52	DLBC53	DLBC54	DLBC55	DLBC56	DLBC57	DLBC58	FSCC17	FSCC3	FSCC14	FSCC11	FSCC8	FSCC16	FSCC15	FSCC5	FSCC10	FSCC12	FSCC4	FSCC13	FSCC7	FSCC18	FSCC6	FSCC19	FSCC2	FSCC9	FSCC1
D86970_at	10	188	255	378	10	342	92	185	10	270	234	148	233	96	10	10	124	10	361	10	10	233	17	70	221	10	10	30	10	10	180	10	30	374	10	321	259	166	162	10	82	10	10	220	32	480	98	10	98	23	328	226	10	10	185	10	11	53	294	10	10	10	10	10	10	10	66	159	134	153	145	270	100	10	10	10	25
D87071_at	71	181	238	10	10	391	370	474	763	49	10	633	699	136	10	138	10	421	10	10	10	661	10	10	10	10	10	10	10	10	119	10	652	459	10	10	931	40	10	10	737	999	10	511	10	10	10	10	229	30	149	10	285	259	503	10	10	355	10	10	54	10	10	10	10	163	10	10	296	10	10	10	10	10	10	10	10
D87432_at	10	356	412	408	115	148	10	103	10	104	1093	286	539	10	10	238	35	66	873	87	10	238	10	444	34	10	10	225	29	10	284	62	340	543	10	301	1507	297	10	13	209	90	10	49	10	683	308	108	10	227	74	2281	10	10	509	10	216	40	500	10	10	10	10	10	42	247	36	441	255	433	222	659	475	10	389	170	10
D87433_at	10	702	432	438	104	51	701	1116	10	679	10	260	119	126	10	10	10	10	169	10	10	229	13	10	295	10	105	18	10	10	175	10	10	783	567	96	234	1039	10	10	10	10	161	268	10	10	10	17	352	10	166	10	10	235	10	75	102	77	10	10	10	10	80	944	51	46	10	151	10	10	10	10	50	10	10	10	10
D87457_at	88	10	10	29	10	20	10	10	10	71	10	69	225	43	79	73	124	105	334	10	10	248	10	337	257	10	10	10	10	10	643	189	238	250	10	109	293	83	10	42	344	502	27	171	10	1117	29	10	218	365	10	250	39	29	544	10	68	58	256	10	10	10	10	10	63	214	10	254	97	373	111	422	92	10	10	10	10
D87468_at	237	172	87	182	299	273	180	175	226	191	299	303	10	477	257	10	172	190	288	209	306	319	10	30	10	158	192	10	144	215	522	260	10	10	240	10	10	165	10	200	10	10	10	15	92	354	368	189	96	10	10	10	192	348	134	10	10	348	258	10	373	371	263	10	126	92	164	283	10	240	10	10	26	287	15	50	222
D87937_at	10	685	363	1267	1298	479	563	1559	821	110	1256	1273	318	80	10	87	94	96	10	277	10	323	417	45	761	1342	99	12	10	74	25	10	850	227	10	135	346	198	10	224	259	207	10	548	398	89	524	588	14	10	10	434	59	10	82	10	10	10	10	183	141	1000	28	10	10	85	155	10	409	449	295	10	120	648	522	331	541
D88532_at	123	110	195	53	276	42	10	10	93	44	10	47	32	205	43	90	71	170	231	10	186	10	10	70	106	60	103	10	146	59	1117	154	10	128	189	101	10	10	305	102	10	88	26	10	29	10	146	63	65	171	33	121	102	10	85	206	163	117	10	14	47	10	128	10	98	135	170	66	10	77	10	68	275	57	10	38	92
HG1019-HT1019_at	10	10	10	172	10	10	10	117	10	10	107	10	95	325	409	10	10	10	10	10	351	76	10	10	165	10	42	10	263	10	14	40	177	10	184	10	169	10	34	10	187	28	10	230	10	10	275	138	10	450	10	56	10	113	347	99	10	10	212	10	228	10	10	10	10	10	89	10	10	10	10	10	10	163	10	10	303
HG1111-HT1111_at	10	10	74	10	44	11	10	64	10	10	10	33	699	10	10	966	12	44	93	16	351	213	362	224	447	286	10	177	10	152	10	409	325	51	10	124	216	17	10	10	238	10	10	10	157	1166	102	100	20	326	182	810	181	497	1579	10	23	181	10	10	24	10	10	10	355	148	220	252	33	41	29	31	188	10	138	10	10
HG172-HT3924_at	144	52	118	10	13	16	10	55	10	116	10	10	10	145	118	10	10	10	102	10	282	10	61	77	101	169	10	54	38	10	208	72	10	154	18	19	10	10	96	10	10	10	10	28	41	108	10	10	10	126	10	126	41	226	10	132	76	195	187	372	10	10	176	10	237	153	43	201	40	24	21	92	10	10	10	10	188
HG2992-HT5186_at	176	338	258	569	275	451	176	321	231	634	1062	448	56	10	10	118	91	10	475	10	122	10	243	10	10	232	178	10	10	10	432	10	329	185	10	298	997	416	10	206	10	27	156	536	98	10	10	310	67	10	236	173	22	19	159	10	301	10	304	287	41	10	318	10	10	217	278	315	355	352	215	10	10	10	10	10	239
HG3231-HT3408_at	599	118	10	105	47	10	10	57	10	10	245	16	10	350	430	157	45	68	268	10	316	349	10	16	10	10	10	201	189	35	172	182	10	10	425	10	124	32	90	10	10	10	10	15	27	346	182	10	10	101	143	160	156	504	10	104	76	110	320	340	10	10	94	10	257	153	90	319	10	55	10	175	10	885	10	10	70
HG3415-HT3598_at	65	86	297	49	10	75	244	149	56	82	10	224	150	182	324	51	83	76	29	24	10	126	11	10	140	10	10	28	10	10	10	10	70	149	340	161	23	128	160	74	60	10	10	38	88	275	150	94	113	78	147	10	47	10	10	10	10	122	10	10	10	10	10	10	10	17	10	63	78	10	68	20	26	10	46	10	10
HG3502-HT3696_at	85	10	27	10	173	109	10	10	10	66	32	43	10	143	87	80	84	10	10	10	119	52	85	58	10	10	89	10	141	19	10	107	70	96	10	10	10	99	218	43	10	13	56	10	75	125	10	14	10	10	10	235	26	67	28	143	10	21	45	192	197	10	169	1348	58	83	10	44	38	10	29	10	58	87	59	10	119
HG3570-HT3773_at	10	17	10	10	10	432	10	10	185	175	10	96	10	10	10	111	10	207	67	48	337	10	225	637	10	522	10	320	182	236	10	10	386	345	10	131	671	10	756	10	10	272	10	191	10	10	10	10	13	10	109	473	113	10	10	362	10	10	10	208	10	630	10	10	10	466	417	10	10	10	211	310	103	624	10	58	10
HG3884-HT4154_at	170	10	63	10	264	92	246	10	39	10	10	10	84	10	10	268	84	358	10	48	10	10	10	235	351	10	465	28	10	10	283	157	307	132	75	138	10	10	10	10	110	166	129	180	106	10	10	10	171	10	10	180	148	10	10	10	122	152	10	10	10	10	30	21	10	25	192	10	10	10	10	10	12	10	558	74	10
HG3893-HT4163_at	124	10	64	10	85	57	108	10	48	72	155	10	223	85	399	119	10	54	116	213	202	259	10	10	95	10	211	12	189	114	10	10	69	122	420	161	16	37	46	130	10	66	60	48	81	115	10	10	10	10	103	233	70	10	38	147	14	28	10	200	10	143	198	674	10	286	52	10	157	236	10	149	84	143	54	109	161
HG3945-HT4215_at	10	1256	635	281	10	735	407	129	10	1570	10	457	903	1153	10	74	10	10	10	10	10	2594	10	10	1108	10	10	283	10	44	821	1106	10	2615	137	1227	32	1491	10	224	694	894	10	676	10	10	10	10	485	10	622	1344	2551	87	123	10	46	771	10	10	10	10	10	10	10	10	10	10	180	10	10	10	10	10	10	10	10
HG4068-HT4338_at	403	10	10	10	210	215	10	293	167	10	379	142	190	1188	285	293	199	10	10	10	375	199	10	10	10	100	10	101	587	10	297	10	10	354	307	10	266	127	1292	362	10	137	10	10	204	807	10	89	10	249	412	1191	128	308	76	10	10	10	234	563	948	1033	10	8757	467	287	255	545	10	10	10	347	10	10	10	42	174
HG4263-HT4533_at	10	10	10	10	10	118	10	21	10	10	10	10	10	10	10	10	10	10	10	10	10	10	236	10	191	336	10	10	10	240	10	10	146	408	10	10	10	10	10	10	10	10	10	2308	10	67	10	10	10	10	10	10	331	10	10	10	10	10	10	185	10	10	10	10	100	724	238	10	226	10	10	138	573	10	446	12	10
HG4390-HT4660_at	10	205	32	745	1494	641	63	917	10	208	1141	651	10	196	10	12	10	10	70	10	10	10	10	55	10	10	10	10	10	10	553	83	666	16	10	368	997	1780	110	10	10	10	10	1163	10	10	44	10	10	20	48	10	52	177	512	152	270	255	213	54	10	38	20	10	10	10	10	223	563	422	243	43	107	10	465	10	128
HG4460-HT4729_at	10	10	10	10	10	10	10	220	10	10	26	10	10	10	291	10	10	10	461	10	10	18	10	10	10	18	10	10	41	10	10	937	10	10	10	10	10	315	10	10	10	183	10	10	10	10	550	401	10	10	418	10	10	4038	10	10	10	10	10	10	10	10	10	42	142	15	18	306	328	10	47	10	10	10	10	10	10
HG4638-HT5050_at	10	10	10	10	10	10	101	10	10	10	10	10	251	10	10	51	215	10	10	10	10	10	195	44	10	10	10	10	10	10	194	10	56	356	10	162	96	10	10	10	10	1138	10	11	10	10	10	10	685	91	119	10	365	568	572	10	81	10	10	10	10	10	10	10	10	10	10	84	61	287	10	10	92	10	10	10	10
HG4662-HT5075_at	10	10	10	10	503	10	10	10	10	10	771	111	199	64	92	1066	729	10	4364	416	10	517	81	507	56	10	10	14	10	121	462	27	10	182	10	101	351	642	10	55	691	527	10	820	10	245	2027	3298	207	335	686	236	350	1773	464	740	216	10	10	116	10	10	10	10	10	1085	10	10	132	705	10	10	10	10	10	613	10
HG4747-HT5195_at	37	10	10	10	10	10	10	10	10	10	10	10	10	10	10	517	32	106	202	10	10	10	58	78	147	10	10	11	10	65	187	12	10	547	10	141	10	10	10	245	272	151	10	10	78	696	14	154	10	163	10	10	243	58	340	10	75	134	10	72	10	10	10	10	10	107	10	127	214	284	10	10	10	10	10	10	10
HG537-HT537_at	10	10	47	329	52	186	251	362	10	10	408	23	10	10	10	10	16	10	10	10	10	91	10	10	10	261	10	10	10	38	10	10	157	10	10	19	10	10	919	10	78	20	10	192	10	179	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	2155	10	10	10	10	10	10	10	10	17	187	10	10	10
HG742-HT742_at	210	10	10	10	10	10	10	10	10	26	174	10	10	149	43	199	10	181	412	175	652	568	125	202	259	313	228	10	221	286	247	223	114	10	737	10	10	10	61	231	201	88	135	10	10	297	297	197	28	135	10	10	10	312	151	224	142	207	233	79	495	545	176	261	304	219	143	234	136	317	99	154	124	269	157	10	202
HG909-HT909_at	10	124	10	10	82	140	128	10	93	10	243	276	10	10	10	80	35	10	10	10	10	10	10	267	67	10	10	55	10	62	119	10	270	10	10	25	113	161	10	10	194	10	10	64	177	348	10	10	10	10	45	10	11	10	149	21	10	10	10	10	81	10	301	2528	10	10	10	10	14	91	11	10	10	10	219	10	10
J02854_at	10	480	10	747	10	41	472	10	10	332	10	102	10	25	20	10	10	10	365	10	10	194	44	10	1102	10	10	55	10	10	10	10	10	524	10	219	148	226	110	10	10	10	10	162	10	10	10	10	946	10	121	10	10	10	136	10	10	36	10	10	10	10	10	10	10	10	10	10	10	41	10	10	10	10	10	10	10
J02874_at	10	167	27	293	58	25	2491	34	23	207	10	10	248	59	66	53	10	107	10	53	10	362	166	10	10	512	22	156	196	73	2061	10	214	1717	42	47	51	10	189	14	155	318	10	10	86	567	98	38	45	112	888	175	15	147	10	103	10	73	76	134	10	10	229	10	10	204	81	34	545	76	5763	165	443	117	121	17	10
J03890_rna1_at	262	10	154	10	10	10	88	10	10	174	10	14	190	625	649	158	66	10	584	82	260	61	10	10	89	10	283	142	185	259	508	215	10	203	647	175	10	10	10	107	10	231	426	10	10	633	50	39	10	238	150	543	116	293	190	42	173	262	416	10	627	421	204	1287	228	10	118	348	83	155	135	120	168	223	10	70	186
J04056_at	10	241	299	255	124	220	10	182	258	282	10	358	304	101	10	44	10	10	201	10	10	80	48	208	205	73	10	10	10	10	256	10	10	67	10	394	387	318	10	20	10	10	10	214	155	167	10	10	119	10	78	64	207	10	110	10	52	253	10	10	10	10	19	10	10	104	10	10	10	10	51	10	10	10	10	10	10
J04076_at	34	921	1142	313	101	602	10	85	10	883	10	672	847	124	10	79	10	43	299	10	10	10	25	149	197	10	10	10	10	79	878	21	542	460	10	711	141	171	32	10	10	10	10	324	89	257	20	159	10	443	55	434	24	10	157	10	132	269	334	87	10	10	10	10	33	10	106	87	103	95	34	258	10	65	10	10	10
J04132_at	10	501	666	251	455	633	10	92	10	287	10	66	218	10	30	540	370	10	87	10	10	268	27	502	296	875	10	10	398	10	207	10	10	624	10	1103	717	238	81	130	10	10	136	285	179	1059	10	10	10	188	10	79	398	64	257	10	254	492	98	10	10	10	10	10	179	440	10	347	546	342	132	493	750	10	378	279	267
J04444_at	726	1804	10	180	329	2052	1723	1292	859	1348	10	689	2691	205	10	2066	10	24	761	444	10	1961	1833	1267	10	10	285	164	10	10	1904	10	3836	10	10	1193	1660	655	10	609	10	3253	911	1106	73	8631	10	63	2214	10	580	135	1688	10	1975	587	795	10	10	10	10	10	10	691	10	79	10	10	744	747	135	10	526	10	634	620	10
J04469_at	10	529	10	77	10	173	884	55	87	578	99	74	196	193	103	271	73	390	258	209	10	225	33	213	253	10	26	358	118	434	607	10	257	314	10	10	295	88	10	209	10	141	98	366	340	162	10	14	186	238	10	189	40	10	87	115	211	57	331	227	10	165	10	167	344	235	24	13	25	10	231	204	21	10	10	10	166
J04739_at	147	70	10	105	10	10	10	10	10	61	10	10	10	166	10	10	40	97	10	88	10	131	10	10	10	10	137	10	189	158	356	85	71	10	10	85	10	10	10	35	173	10	27	10	193	124	152	119	10	243	10	10	10	134	10	93	157	214	81	102	94	10	10	313	10	136	10	252	10	10	239	303	77	10	10	91	17
J04760_at	273	3626	10	10	10	245	85	10	10	3603	147	87	27	260	10	177	35	10	162	90	10	10	25	75	10	31	270	10	237	442	442	10	165	10	10	285	27	128	10	100	205	394	409	194	10	10	10	10	10	15	10	191	205	220	96	276	247	10	10	282	266	316	530	10	10	192	10	55	10	320	230	214	277	492	10	307	219
J05037_at	23	10	10	37	10	10	10	10	348	10	10	10	10	249	291	309	240	10	10	10	10	10	10	10	10	112	183	10	235	10	10	10	10	10	10	10	161	10	10	55	10	10	10	121	10	170	10	10	10	10	10	10	10	77	10	183	10	10	10	10	291	10	256	6722	10	10	10	326	10	10	10	10	10	668	10	218	119
J05257_at	378	284	152	10	212	10	135	103	17	318	10	10	10	542	262	205	230	69	21	168	10	68	10	10	10	278	217	10	210	158	625	357	310	13	184	31	10	10	10	53	10	184	245	10	10	151	226	66	80	94	10	315	10	169	166	82	191	14	190	73	406	10	273	2052	132	23	137	179	73	65	230	166	10	273	44	105	496
K02054_at	67	82	147	89	46	28	15	61	45	72	10	10	10	108	249	10	43	10	177	10	31	10	10	10	10	10	1149	10	279	10	372	49	10	10	562	38	17	13	258	10	10	10	10	58	10	10	44	10	10	81	84	20	10	187	10	24	89	93	14	181	20	261	27	502	121	37	12	165	10	10	56	59	46	27	10	10	109
K03218_at	99	10	207	119	88	10	10	10	10	10	113	100	56	196	440	175	147	136	277	10	26	10	109	65	62	10	10	97	10	88	333	174	11	255	14	114	146	10	145	72	14	10	100	55	199	198	10	109	10	139	100	61	85	123	135	170	218	176	118	62	10	10	30	10	17	89	146	259	124	176	38	10	10	10	10	10	10
L01406_at	10	86	10	25	72	10	65	10	10	118	10	113	10	242	453	98	10	10	10	115	10	498	101	10	305	252	314	10	130	86	607	10	291	243	10	143	10	10	10	10	83	397	235	10	10	10	351	211	72	10	99	64	10	497	46	142	226	145	38	163	228	10	67	10	10	181	175	10	10	410	275	10	44	10	10	17	99
L02867_at	10	10	10	10	10	10	10	10	10	10	10	10	10	387	561	10	10	339	207	10	966	1468	10	10	232	455	10	241	10	58	10	229	10	10	1063	10	10	10	1181	10	10	10	10	10	128	10	10	94	10	10	267	10	10	260	10	51	10	71	10	10	401	165	10	3365	192	40	10	10	10	10	10	10	10	438	10	10	10
L02950_at	10	10	227	10	500	10	10	10	10	14	10	10	10	53	10	88	10	10	25	10	34	10	496	10	10	110	10	25	10	10	259	80	10	26	10	10	333	340	90	10	10	10	10	10	41	2416	342	10	10	19	283	1085	36	284	10	45	10	10	266	115	10	10	10	10	61	30	80	34	12	10	10	26	10	10	10	10	150
L04733_at	10	978	1213	662	231	776	549	646	200	911	251	856	1079	64	10	10	403	10	601	10	10	565	211	114	50	10	211	360	114	29	203	10	1274	539	10	712	626	657	10	10	703	332	10	956	10	199	87	10	455	89	203	1285	94	10	687	10	254	10	280	10	383	10	10	10	10	291	10	116	295	365	320	555	348	79	455	151	587
L06419_at	269	1223	404	614	10	551	884	10	312	1347	10	871	544	10	641	176	10	10	469	10	10	740	54	10	33	10	342	10	102	10	759	10	279	747	548	316	587	10	93	10	358	448	154	514	10	208	10	114	473	219	771	10	62	409	448	348	10	115	10	64	141	10	10	10	10	36	10	10	10	10	10	10	10	10	10	10	10
L06845_at	108	972	671	10	178	1357	1736	587	784	498	667	554	320	641	10	254	550	721	41	615	10	936	313	182	1480	10	227	10	10	207	613	303	1507	667	10	170	1462	432	66	449	576	10	430	1008	829	899	241	17	453	397	608	874	482	388	10	10	231	343	69	10	10	10	10	10	10	107	365	559	244	349	10	10	10	10	682	128	10
L07515_at	10	475	489	696	430	504	47	515	497	247	199	497	442	64	10	162	60	142	81	10	10	10	376	31	72	10	10	10	10	10	10	118	1091	258	10	159	915	870	10	109	10	10	10	248	18	418	72	116	229	78	61	92	178	43	87	42	45	10	39	10	10	10	10	10	42	10	75	80	40	21	37	10	10	10	10	10	10
L07592_at	154	10	140	10	162	342	165	10	102	76	10	26	334	10	10	115	162	319	10	182	10	10	86	10	10	125	89	10	10	10	10	10	568	554	10	221	133	76	10	119	218	123	10	335	10	21	10	132	111	96	431	348	39	10	303	10	51	10	10	10	10	10	10	10	288	10	180	10	87	231	184	10	96	10	56	10	10
L07738_at	10	882	274	398	293	10	208	10	10	1180	10	354	620	122	340	10	552	35	10	10	10	64	10	199	10	10	93	10	249	339	589	10	367	306	10	146	144	386	10	227	10	294	430	16	207	10	154	10	10	58	10	288	10	1124	566	10	411	359	970	10	10	10	10	5495	10	10	47	452	72	482	262	10	10	10	10	144	102
L07956_at	243	995	359	466	546	405	492	248	287	1144	383	618	744	10	10	314	24	201	79	147	10	621	179	71	10	10	10	10	10	10	555	104	138	437	10	343	308	351	10	128	81	318	217	480	10	218	11	326	240	72	415	274	56	10	564	10	162	208	41	51	10	10	10	10	10	202	121	10	83	66	91	91	70	10	51	10	10
L08488_at	74	19	10	10	10	10	58	10	10	86	34	107	345	191	25	10	10	10	103	29	34	531	10	81	223	127	10	10	45	51	156	168	59	11	10	66	175	10	253	10	195	10	70	10	10	129	282	10	10	10	216	190	26	159	94	144	330	151	10	367	279	270	102	223	156	161	243	163	131	144	124	191	301	315	122	71	217
L10665_at	43	49	97	95	10	51	10	10	10	24	10	21	150	159	139	10	10	10	10	91	154	250	10	95	138	94	10	58	34	24	372	149	206	10	179	51	42	39	145	31	10	10	75	10	55	118	167	135	10	10	68	10	10	86	10	132	49	110	108	142	10	10	10	10	176	41	47	105	25	88	59	114	68	109	39	10	248
L10678_at	236	551	254	11	385	10	10	10	378	661	10	10	3346	48	41	417	10	37	2312	10	10	10	193	403	10	112	10	34	10	10	369	55	2764	60	10	78	10	34	119	10	82	901	192	109	52	225	10	737	10	58	748	1439	22	223	186	208	15	160	10	298	10	10	127	10	10	191	83	129	156	282	290	198	147	45	16	10	10
L11005_at	49	42	10	10	10	101	10	10	10	10	10	10	76	48	123	30	98	101	10	183	196	87	89	10	119	10	172	69	162	81	18	24	112	196	694	87	10	10	10	99	81	63	131	10	22	79	10	47	10	10	374	118	82	43	146	59	66	94	10	221	1163	10	356	347	72	21	110	149	90	163	141	137	1251	101	77	34	10
L11329_at	1902	2893	3555	565	10	873	10	10	662	3138	903	1250	2537	798	10	1742	336	670	10	969	10	370	371	31	37	10	402	10	10	10	1313	10	4389	1397	10	1120	992	2082	10	378	10	2447	550	234	1156	10	10	980	1942	770	1666	701	1680	165	83	10	10	2993	10	10	10	10	10	10	126	310	10	799	925	10	10	10	419	10	1858	542	10
L11353_at	99	226	325	69	10	255	241	64	121	62	318	316	21	10	10	84	187	10	24	10	178	319	89	149	10	10	61	10	10	10	92	32	169	107	10	167	10	237	10	10	10	23	10	183	10	211	10	50	34	10	70	175	84	10	10	32	39	20	10	10	200	159	25	519	10	117	18	10	10	32	194	69	97	335	221	120	10
L13042_at	32	10	10	10	10	10	113	10	10	281	61	10	10	396	293	10	10	10	279	10	316	10	10	114	238	342	10	27	10	39	245	96	10	112	259	10	10	10	384	37	10	10	31	10	48	10	290	113	10	10	24	250	10	175	62	49	63	295	109	194	153	380	142	10	67	10	120	181	10	73	111	205	10	293	10	10	63
L13197_at	10	10	10	10	60	10	10	42	95	10	10	169	10	27	10	10	10	10	167	10	98	10	10	51	10	10	10	10	10	10	10	10	10	10	10	62	10	52	10	10	10	10	10	10	31	10	197	10	10	83	130	118	154	198	118	10	10	10	10	282	10	10	10	2404	10	10	10	10	36	31	10	99	10	10	10	10	505
L13210_at	140	3560	1009	2009	10	1496	1042	861	10	3613	10	2121	1586	1919	10	10	282	10	137	10	10	2719	10	352	781	31	10	10	306	10	10	339	380	2706	1337	2643	405	1207	10	370	434	731	131	955	10	2462	10	10	1133	396	1495	10	268	10	3434	10	398	2116	10	834	838	10	10	2859	1097	382	338	10	10	23	10	619	10	396	10	299	10
L13391_at	527	320	443	1753	375	266	644	468	1171	390	10	540	1101	10	10	1383	10	95	40	10	26	749	369	110	88	183	77	24	10	455	796	10	169	710	10	261	185	461	10	10	172	272	194	66	39	447	10	208	864	61	5802	1020	1372	10	176	134	161	291	169	10	10	10	186	10	177	395	241	197	286	326	121	205	130	10	382	48	10
L14565_at	10	10	10	10	10	10	10	10	110	10	10	10	10	685	533	10	10	10	10	10	433	10	10	751	10	288	10	322	10	10	10	10	10	10	623	442	10	10	538	10	339	126	215	10	10	10	613	41	10	101	10	10	650	28	296	163	125	86	10	10	10	27	279	10	326	10	495	238	10	10	15	846	10	10	10	10	102
L14927_at	10	10	10	10	10	423	10	10	10	10	10	10	10	10	10	10	10	151	10	10	10	10	171	10	10	10	98	265	10	10	10	10	10	571	10	45	10	10	10	240	102	95	53	10	85	10	308	10	405	10	102	10	10	10	506	10	10	318	10	10	10	10	13	10	422	10	135	10	187	347	10	10	10	10	71	10	10
L15344_at	132	10	10	63	10	10	10	10	139	10	10	10	10	55	273	152	10	37	10	38	71	10	161	96	101	60	10	10	480	10	153	171	10	170	10	52	49	10	10	116	10	10	10	10	10	10	135	152	106	169	10	330	227	92	159	227	93	34	110	77	10	10	10	10	97	444	281	84	174	45	99	292	78	10	10	10	334
L15388_at	10	781	204	753	65	132	673	790	95	470	10	561	10	10	10	10	10	10	10	10	10	10	10	10	10	66	10	10	10	10	10	10	169	10	10	671	317	413	10	10	202	255	10	729	10	10	10	36	404	10	10	600	10	10	184	10	10	10	10	176	10	10	10	10	10	10	10	10	10	63	10	59	10	10	104	10	10
L16896_at	10	10	10	10	10	241	373	10	233	42	10	33	184	10	10	66	546	10	630	10	10	10	10	155	10	10	10	10	10	168	10	214	166	67	10	10	275	217	10	413	243	115	10	272	91	505	10	10	103	10	363	10	10	10	375	10	10	339	10	10	10	10	25	10	10	84	10	99	73	36	10	91	10	10	10	10	10
L16991_at	39	242	160	275	449	340	1187	633	1902	788	792	535	813	461	128	786	10	323	199	149	10	529	368	390	118	10	25	10	10	623	897	166	1620	226	10	152	757	1358	10	200	144	474	23	454	10	940	10	100	29	56	344	834	245	312	366	57	98	68	10	550	125	10	10	10	10	131	10	66	155	111	10	10	148	10	68	14	10
L17330_at	45	45	10	19	10	10	10	10	10	10	141	10	172	10	453	84	101	278	10	187	513	75	40	10	10	10	65	41	10	69	199	130	10	79	354	125	22	10	10	10	10	10	186	10	10	10	16	10	10	15	59	10	33	43	49	10	10	188	310	448	251	93	10	10	10	320	15	120	266	286	116	45	162	10	10	80	342
L19058_at	115	10	10	77	135	40	85	114	10	127	140	31	10	212	363	43	10	10	10	138	199	101	91	10	10	265	319	10	153	10	373	217	31	30	548	10	12	10	634	74	20	10	252	10	12	22	63	152	10	73	172	10	43	198	104	157	194	202	212	317	268	382	137	141	177	32	194	31	10	50	166	342	10	530	10	58	452
L19711_at	10	178	159	10	10	44	140	17	10	182	10	71	136	10	10	50	10	124	58	10	10	272	209	114	375	127	10	10	10	10	37	178	114	148	99	143	148	128	686	10	11	28	10	177	113	218	10	353	43	89	374	174	10	10	64	10	59	114	10	183	10	90	10	10	245	47	10	86	11	44	290	46	149	10	26	10	10
L19871_at	10	149	69	208	134	146	194	53	38	90	10	115	19	10	20	74	10	56	45	10	10	10	64	129	155	150	10	78	10	10	10	50	10	143	10	240	120	334	10	10	10	172	10	136	10	56	57	70	31	51	146	123	82	169	30	16	223	404	99	10	10	10	10	10	124	43	106	10	59	117	43	153	10	10	10	10	39
L22005_at	73	418	220	247	10	287	332	283	605	436	10	319	858	10	371	550	255	111	325	71	10	119	189	130	67	10	197	10	10	10	10	10	750	357	10	351	506	353	189	233	324	462	289	399	10	703	10	109	302	10	130	10	27	138	298	10	91	10	10	10	10	10	10	55	10	135	10	281	162	352	213	10	183	10	232	161	176
L22075_at	103	21	10	17	30	10	49	10	72	10	47	10	64	10	51	10	143	132	589	10	10	377	50	10	10	60	10	17	10	67	1041	39	18	319	203	108	18	58	10	32	148	56	10	53	69	10	55	197	10	365	84	21	75	273	483	51	106	184	120	14	38	10	105	261	55	500	10	395	654	186	263	146	276	10	311	325	10
L23808_at	788	723	2099	10	1666	2400	696	177	1404	854	10	883	3673	10	131	266	69	1184	10	29	10	843	2307	117	744	10	10	214	212	2208	1735	198	10	1085	10	9280	627	3007	10	10	47	422	491	487	1476	1097	208	10	231	273	5997	110	10	83	10	10	298	6662	14	10	10	107	10	10	10	63	2501	10	10	10	10	10	10	10	10	10	10
L25270_at	10	312	141	398	10	800	569	1104	121	126	621	291	769	10	10	10	267	10	10	10	10	80	10	10	10	10	10	10	10	10	669	10	714	339	10	150	398	2443	10	10	184	275	10	577	10	10	10	10	113	49	10	10	10	10	832	10	10	10	166	10	10	10	10	10	10	10	10	366	10	785	10	10	10	10	10	10	10
L25798_at	75	90	85	10	102	73	36	111	31	80	10	46	129	10	10	129	10	336	89	112	10	351	88	28	138	10	68	57	10	117	480	95	99	71	42	24	25	26	276	46	89	10	10	10	101	244	87	65	37	11	16	75	10	10	10	119	103	153	10	10	226	104	10	51	10	29	10	136	111	10	11	71	59	175	10	10	10
L26234_at	108	10	57	10	54	10	10	10	10	10	118	10	74	140	85	10	20	32	91	46	109	10	109	10	10	123	10	10	109	42	10	84	79	10	184	10	10	78	209	63	41	10	98	10	10	22	10	38	10	10	10	126	10	92	76	173	56	77	59	85	401	352	158	309	113	10	10	15	70	76	10	10	44	229	42	169	104
L26339_at	10	889	243	480	148	828	1196	579	1279	694	212	1086	852	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1093	10	10	177	1701	1268	10	10	10	10	10	904	10	10	10	10	10	10	10	10	10	10	97	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
L26494_at	106	10	132	97	182	185	106	148	10	56	10	10	213	10	10	188	68	43	10	10	10	31	10	105	171	424	79	64	20	13	265	10	10	241	10	301	10	86	226	232	10	89	10	203	10	10	10	10	10	37	149	487	250	195	148	139	142	171	34	10	10	10	10	6113	10	153	10	161	10	10	10	10	17	10	10	101	51
L27080_at	484	10	10	291	10	517	10	10	10	456	778	96	283	532	525	298	10	49	10	675	1155	864	293	568	653	10	485	10	32	387	990	986	262	10	1427	51	432	10	765	161	320	550	1076	274	10	10	282	10	10	347	10	174	203	734	185	549	383	10	155	488	10	664	923	10	10	192	194	572	171	561	349	337	143	187	98	493	877
